,val,date,n,SMA30,SMA60,SMA90,SMA180,EMA,EMA0.3
0,459.2623988341536,2021-04-05,1,459.2623988341536,459.2623988341536,459.2623988341536,459.2623988341536,459.2623988341536,459.2623988341536
1,163.12511127224124,2021-04-06,2,311.19375505319744,311.19375505319744,311.19375505319744,311.19375505319744,429.6486700779624,370.4212125655799
2,155.02230989204895,2021-04-07,3,259.13660666614794,259.13660666614794,259.13660666614794,259.13660666614794,402.1860340593711,305.8015417635206
3,104.4007255692299,2021-04-08,4,220.45263639191842,220.45263639191842,220.45263639191842,220.45263639191842,372.407503210357,245.3812969052334
4,98.48193675619454,2021-04-09,5,196.05849646477367,196.05849646477367,196.05849646477367,196.05849646477367,345.0149465649407,201.31148886052173
5,109.741148461202,2021-04-10,6,181.6722717975117,181.6722717975117,181.6722717975117,181.6722717975117,321.48756675456684,173.8403867407258
6,55.59814586808048,2021-04-11,7,163.66168237902153,163.66168237902153,163.66168237902153,163.66168237902153,294.8986246659182,138.36771447893219
7,56.99756987179893,2021-04-12,8,150.3286683156187,150.3286683156187,150.3286683156187,150.3286683156187,271.10851918650627,113.95667109679219
8,80.1421317364739,2021-04-13,9,142.53016425126927,142.53016425126927,142.53016425126927,142.53016425126927,252.01188044150305,103.81230928869671
9,129.6563925514905,2021-04-14,10,141.2427870812914,141.2427870812914,141.2427870812914,141.2427870812914,239.7763316525018,111.56553426753484
10,105.51121116855388,2021-04-15,11,137.99446199831527,137.99446199831527,137.99446199831527,137.99446199831527,226.349819604107,109.74923733784055
11,104.6425483752249,2021-04-16,12,135.21513586305772,135.21513586305772,135.21513586305772,135.21513586305772,214.17909248121882,108.21723064905585
12,119.70554037585654,2021-04-17,13,134.02209005634995,134.02209005634995,134.02209005634995,134.02209005634995,204.7317372706826,111.66372356709604
13,15.730287905728703,2021-04-18,14,125.57267561701987,125.57267561701987,125.57267561701987,125.57267561701987,185.8315923341872,82.88369286868584
14,89.19703942800204,2021-04-19,15,123.14763320441868,123.14763320441868,123.14763320441868,123.14763320441868,176.1681370435687,84.7776968364807
15,73.45143454863081,2021-04-20,16,120.04162078843194,120.04162078843194,120.04162078843194,120.04162078843194,165.8964667940749,81.37981815012573
16,227.20108422103604,2021-04-21,17,126.34511863740866,126.34511863740866,126.34511863740866,126.34511863740866,172.02692853677104,125.12619797139881
17,24.2707805654338,2021-04-22,18,120.67432207785448,120.67432207785448,120.67432207785448,120.67432207785448,157.25131373963734,94.8695727496093
18,310.6063487992117,2021-04-23,19,130.6707445368733,130.6707445368733,130.6707445368733,130.6707445368733,172.58681724559477,159.59060556449
19,72.34471566490436,2021-04-24,20,127.75444309327483,127.75444309327483,127.75444309327483,127.75444309327483,162.56260708752575,133.4168385946143
20,236.4774904057056,2021-04-25,21,132.93173106053345,132.93173106053345,132.93173106053345,132.93173106053345,169.95409541934373,164.33503413794168
21,176.7677703416916,2021-04-26,22,134.9242783005861,134.9242783005861,134.9242783005861,134.9242783005861,170.63546291157851,168.06485499906665
22,159.38732823993223,2021-04-27,23,135.9878891675142,135.9878891675142,135.9878891675142,135.9878891675142,169.5106494444139,165.46159697132632
23,109.95399942157457,2021-04-28,24,134.90314376143337,134.90314376143337,134.90314376143337,134.90314376143337,163.55498444212998,148.80931770640078
24,193.04981389980227,2021-04-29,25,137.22901056696813,137.22901056696813,137.22901056696813,137.22901056696813,166.5044673878972,162.08146656442122
25,163.11163236332413,2021-04-30,26,138.2244960206741,138.2244960206741,138.2244960206741,138.2244960206741,166.1651838854399,162.39051630409207
26,126.16582161835083,2021-05-01,27,137.7778784502177,137.7778784502177,137.7778784502177,137.7778784502177,162.16524765873098,151.5231078983697
27,75.61096985150449,2021-05-02,28,135.5576317145494,135.5576317145494,135.5576317145494,135.5576317145494,153.50981987800833,128.74946648431012
28,107.44291126427429,2021-05-03,29,134.58815859557438,134.58815859557438,134.58815859557438,134.58815859557438,148.90312901663495,122.35749991829935
29,126.31696731597116,2021-05-04,30,134.31245221958758,134.31245221958758,134.31245221958758,134.31245221958758,146.64451284656857,123.54534013760087
30,128.02595732873314,2021-05-05,31,123.27123750274025,134.1096620618181,134.1096620618181,134.1096620618181,144.78265729478505,124.88952529494055
31,148.27803581891092,2021-05-06,32,122.77633498762924,134.55242374172727,134.55242374172727,134.55242374172727,145.13219514719765,131.90607845213165
32,57.863929387182566,2021-05-07,33,119.5377223041337,132.22852997340772,132.22852997340772,132.22852997340772,136.40536857119614,109.69343373264692
33,57.12512948089302,2021-05-08,34,117.96186910118914,130.01960642951025,130.01960642951025,130.01960642951025,128.47734466216582,93.92294245712075
34,51.76300522308129,2021-05-09,35,116.4045713834187,127.78370353789796,127.78370353789796,127.78370353789796,120.80591071825737,81.27496128690892
35,54.81760417445823,2021-05-10,36,114.57378657386057,125.75686744446908,125.75686744446908,125.75686744446908,114.20708006387746,73.3377541531737
36,32.84813632406858,2021-05-11,37,113.8154529223935,123.24582065743124,123.24582065743124,123.24582065743124,106.07118568989657,61.19086880444216
37,103.11492161119266,2021-05-12,38,115.35269798037329,122.71606015621444,122.71606015621444,122.71606015621444,105.77555928202618,73.7680846464673
38,94.65358691069116,2021-05-13,39,115.8364131528472,121.99650956017537,121.99650956017537,121.99650956017537,104.66336204489268,80.03373532573445
39,96.02303757465756,2021-05-14,40,114.7153013202861,121.34717276053743,121.34717276053743,121.34717276053743,103.79932959786917,84.83052600041138
40,93.73692539825556,2021-05-15,41,114.32282512794283,120.6737520931647,120.6737520931647,120.6737520931647,102.79308917790782,87.50244581976463
