,val,date,n,SMA30,SMA60,SMA90,SMA180,EMA,EMA0.3
0,1.0,2020-06-14,1,1.0,1.0,1.0,1.0,1.0,1.0
1,16.06368135679037,2020-06-15,2,8.531840678395184,8.531840678395184,8.531840678395184,8.531840678395184,2.506368135679037,5.51910440703711
2,46.431202499435344,2020-06-16,3,21.16496128540857,21.16496128540857,21.16496128540857,21.16496128540857,6.898851572054668,17.79273383475658
3,1.758514428892208,2020-06-17,4,16.31334957127948,16.31334957127948,16.31334957127948,16.31334957127948,6.3848178577384225,12.982468012997266
4,1.281994320295403,2020-06-18,5,13.307078521082664,13.307078521082664,13.307078521082664,13.307078521082664,5.874535503994121,9.472325905186706
5,5.900139755701372,2020-06-19,6,12.07258872685245,12.07258872685245,12.07258872685245,12.07258872685245,5.877095929164846,8.400670060341106
6,1317.486117081237,2020-06-20,7,198.56023563462165,198.56023563462165,198.56023563462165,198.56023563462165,137.03799804437205,401.1263041666098
7,1797.4550465096331,2020-06-21,8,398.42208699399805,398.42208699399805,398.42208699399805,398.42208699399805,303.07970289089815,820.0249268695168
8,83.28708720110222,2020-06-22,9,363.40708701700964,363.40708701700964,363.40708701700964,363.40708701700964,281.1004413219186,599.0035749689923
9,35.368901001848535,2020-06-23,10,330.6032684154935,330.6032684154935,330.6032684154935,330.6032684154935,256.5272872899116,429.9131727788492
10,90.93838898392404,2020-06-24,11,308.8155521035327,308.8155521035327,308.8155521035327,308.8155521035327,239.96839745931285,328.2207376403716
11,54.39862847990828,2020-06-25,12,287.61414180156396,287.61414180156396,287.61414180156396,287.61414180156396,221.4114205613724,246.0741048922326
12,11.583995268425332,2020-06-26,13,266.38105360670716,266.38105360670716,266.38105360670716,266.38105360670716,200.42867803207773,175.72707200509043
13,11.574106167823633,2020-06-27,14,248.18055736107263,248.18055736107263,248.18055736107263,248.18055736107263,181.5432208456523,126.48118225391038
14,355.9233057123624,2020-06-28,15,255.3634072511586,255.3634072511586,255.3634072511586,255.3634072511586,198.98122933232332,195.31381929144595
15,44.46914077403575,2020-06-29,16,242.18251559633842,242.18251559633842,242.18251559633842,242.18251559633842,183.53002047649457,150.06041573622286
16,77.44991070632172,2020-06-30,17,232.4923623675139,232.4923623675139,232.4923623675139,232.4923623675139,172.9220094994773,128.27726422725252
17,45.19048419282436,2020-07-01,18,222.08670246892004,222.08670246892004,222.08670246892004,222.08670246892004,160.148856968812,103.35123021692407
18,414.72221627860216,2020-07-02,19,232.22541372206123,232.22541372206123,232.22541372206123,232.22541372206123,185.606192899791,196.76252603542747
19,154.66026930543933,2020-07-03,20,228.34715650123013,228.34715650123013,228.34715650123013,228.34715650123013,182.51160054035586,184.131849016431
20,411.9462238011367,2020-07-04,21,237.08996922979708,237.08996922979708,237.08996922979708,237.08996922979708,205.45506286643393,252.4761614518427
21,728.3074528431786,2020-07-05,22,259.418036666769,259.418036666769,259.418036666769,259.418036666769,257.7403018641084,395.2255488692434
22,8.612193673576284,2020-07-06,23,248.51343479749974,248.51343479749974,248.51343479749974,248.51343479749974,232.82749104505518,279.24154231054325
23,133.52233890072608,2020-07-07,24,243.72213913513417,243.72213913513417,243.72213913513417,243.72213913513417,222.89697583062227,235.52578128759808
24,23.77266385239037,2020-07-08,25,234.9241601238244,234.9241601238244,234.9241601238244,234.9241601238244,202.98454463279907,171.99984605703577
25,434.17477754008496,2020-07-09,26,242.5876454090652,242.5876454090652,242.5876454090652,242.5876454090652,226.10356792352766,250.6523255019505
26,608.8784983874084,2020-07-10,27,256.153973297152,256.153973297152,256.153973297152,256.153973297152,264.3810609699157,358.12017736758787
27,370.0233887553832,2020-07-11,28,260.220738134946,260.220738134946,260.220738134946,260.220738134946,274.94529374846246,361.69114078392647
28,461.3020851134685,2020-07-12,29,267.1545776859295,267.1545776859295,267.1545776859295,267.1545776859295,293.58097288496305,391.57442408278905
29,439.4070541434101,2020-07-13,30,272.89632690117884,272.89632690117884,272.89632690117884,272.89632690117884,308.1635810108078,405.9242131009753
30,341.2088973958772,2020-07-14,31,284.2366234810414,275.09995820745945,275.09995820745945,275.09995820745945,311.4681126493147,386.5096183894458
31,185.18735224447136,2020-07-15,32,289.8740791772974,272.29018927111605,272.29018927111605,272.29018927111605,298.8400366088304,326.11293854595345
32,486.22418448325215,2020-07-16,33,304.5338452434247,278.7730376108778,278.7730376108778,278.7730376108778,317.5784513962726,374.14631232714305
33,47.103551596248494,2020-07-17,34,306.0453464823366,271.9592291986828,271.9592291986828,271.9592291986828,290.5309614162702,276.0334841078747
34,484.30359408152,2020-07-18,35,322.14606647437733,278.0262110524781,278.0262110524781,278.0262110524781,309.9082246827952,338.51451709996826
35,344.1026391950314,2020-07-19,36,333.4194831223551,279.86166738977124,279.86166738977124,279.86166738977124,313.32766613401884,340.1909537284872
36,500.3202442792563,2020-07-20,37,306.1806206956224,285.8200073057033,285.8200073057033,285.8200073057033,332.0269239485426,388.2297408937179
37,326.7563974427185,2020-07-21,38,257.15733239339187,286.8972807303616,286.8972807303616,286.8972807303616,331.4998712979602,369.78773785841804
38,337.8693302041036,2020-07-22,39,265.6434071601586,288.2042563578934,288.2042563578934,288.2042563578934,332.1368171885746,360.21221556212373
39,41.517035928779634,2020-07-23,40,265.8483449910563,282.0370758471656,282.0370758471656,282.0370758471656,303.07483906259506,264.6036616721205
40,448.726439525118,2020-07-24,41,277.77461334242946,286.10267008321324,286.10267008321324,286.10267008321324,317.63999910884735,319.84049502801975
